:START_ID(Person),:END_ID(Paper)
1703204,033275ccc2c7c5c38592ae893da0b5923cf90717
2606269,033275ccc2c7c5c38592ae893da0b5923cf90717
2410119,459cf4e6476d5e19f1bc422c162bcded54ca7f95
1821099,459cf4e6476d5e19f1bc422c162bcded54ca7f95
2066074494,4340043a5a43f1863e080e3fc717f863ad21b51d
1752888049,4340043a5a43f1863e080e3fc717f863ad21b51d
145326878,1a85628dd645ea86b7c146613651fdb30bb32c1d
3246503_corr,1a85628dd645ea86b7c146613651fdb30bb32c1d
51488437,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc
2872113,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc
21024202,59078a26c42e8609244f1c3e01f05af74a3773bf
32267146,59078a26c42e8609244f1c3e01f05af74a3773bf
2503073,1cbbe1a129c0d1f53d8e16ca74238334372507dc
34580886_corr,1cbbe1a129c0d1f53d8e16ca74238334372507dc
2748632,86e9b0585c8b866665de18b2744d69aefff3e16d
1398238537_corr,86e9b0585c8b866665de18b2744d69aefff3e16d
47539394_corr,a20e707395132f750fa958ebc0ea629b23b57bfe
51228791,a20e707395132f750fa958ebc0ea629b23b57bfe
2731035_corr,d852660e15e82ae150dcde105639ba2c7d90f01f
1684751,d852660e15e82ae150dcde105639ba2c7d90f01f
9097705,703d49a335799262e474ed8fe6044cd641a9e00a
31590259,703d49a335799262e474ed8fe6044cd641a9e00a
2121701124,2d95c27d4ed8cfb8379164888cd79c6b239250b4
1403594377,2d95c27d4ed8cfb8379164888cd79c6b239250b4
3188030,93e6ba25e4c45c3f204a09b6a6b8b02bd3596091
47774578,93e6ba25e4c45c3f204a09b6a6b8b02bd3596091
35089024,06424dcd3be195738b653d2ee4358d9974f4cb30
1881965,06424dcd3be195738b653d2ee4358d9974f4cb30
2967413,bcca5c7e9180c4890936343d79e812cb16cbefb6
14886336,bcca5c7e9180c4890936343d79e812cb16cbefb6
2089333,0443c9a0fbb403d5e7d3593f5d286cb74ed0b490
143879633,0443c9a0fbb403d5e7d3593f5d286cb74ed0b490
40895294,c858ba9bce833896b49878a6793dbb382ed83c9e
48035814,c858ba9bce833896b49878a6793dbb382ed83c9e
2872113,f3e765ca2b8c4191759b141d2e5c42215ed9090d
2109461904,f3e765ca2b8c4191759b141d2e5c42215ed9090d
9613825,689c7a86d973895a14feb984b8faa3d5581038ef
2835741,689c7a86d973895a14feb984b8faa3d5581038ef
51488437_corr,44ec06d911eed44ee99be61bd9ce964a824a2ed7
31435894,44ec06d911eed44ee99be61bd9ce964a824a2ed7
3418946_corr,8afa626901e6b77b3936b8eb64df4a5a538444a0
2028869,8afa626901e6b77b3936b8eb64df4a5a538444a0
1703204,6ea38aacc779506909d425aa19114b92bb1854f8
34533996,6ea38aacc779506909d425aa19114b92bb1854f8
1741342,59f1df2f60280eea79d195b9c561d52a77fb24de
2073794811,59f1df2f60280eea79d195b9c561d52a77fb24de
25003800,1d0d84a1f4e8de75151d88bd152816f18109d032
1705375,1d0d84a1f4e8de75151d88bd152816f18109d032
1803518,6e87f544017f73670c44d9d0856340a289ff9e38
2134146,6e87f544017f73670c44d9d0856340a289ff9e38
2606269,659d8b24e53e8adfbcb1f16b26ada2cb8afa2c85
2019538,659d8b24e53e8adfbcb1f16b26ada2cb8afa2c85
13290587,b8e30590ac81875a7fc4f7cfd425bd5148a72f5c
